"","Dept1","Title","Description","Dept2","Dept3","Dept4","Dept5","Dept6","Dept7","Dept8","Dept9","Dept10","Keywords"
"295","DRST006","Directed Studies: Historical and Political Thought","<p>A study of works of primary importance to political thought and intellectual history. Focus on the role of ideas in shaping events, institutions, and the fate of the individual. In the fall term, Herodotus, Thucydides, Plato, Aristotle, Augustine, and Aquinas. In the spring term, Machiavelli, Hobbes, Locke, Rousseau, Burke, Tocqueville, Emerson, Marx, Nietzsche, and Arendt.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"works political thought focus ideas shaping events institutions fate individual term herodotus thucydides plato aristotle augustine aquinas spring machiavelli hobbes locke rousseau burke tocqueville emerson"
"296","DUTC140","Intermediate Dutch II","<p>Use of authentic Dutch texts to expand proficiency in the language and familiarity with the culture. Focus on Dutch cultural themes that reflect students' interests and fields of study. Readings include a novel and news articles on current events.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"use authentic dutch texts expand language familiarity culture focus cultural themes reflect students news events"
"297","E&EB145","Plants and People","<p>The interaction of plants and people throughout history explored from biological, historical, anthropological, and artistic perspectives. Basic botany; plants in the context of agriculture; plants as instruments of trade and societal change; plants as inspiration; plants in the environment. Includes field trips to the greenhouses at Yale Marsh Botanical Garden, the Yale Peabody Museum and Herbarium, the Yale Farm, and the Yale Art Gallery.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"interaction plants throughout explored biological historical artistic perspectives botany context agriculture trade societal change inspiration environment includes trips greenhouses yale marsh botanical garden peabody museum herbarium farm"
"298","E&EB223L","Evolution, Functional Traits, and the Tree of Life","<p>Study of evolutionary novelties, their functional morphology, and their role in the diversity of life. Introduction to techniques used for studying the diversity of animal body plans. Evolutionary innovations that have allowed groups of organisms to increase their diversity.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"evolutionary novelties functional diversity life techniques used studying animal plans innovations allowed groups organisms increase"
"299","E&EB225","Evolutionary Biology","<p>An overview of evolutionary biology as the discipline uniting all of the life sciences. Reading and discussion of scientific papers to explore the dynamic aspects of evolutionary biology. Principles of population genetics, paleontology, and systematics; application of evolutionary thinking in disciplines such as developmental biology, ecology, microbiology, molecular biology, and human medicine.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"evolutionary biology uniting life sciences discussion scientific explore dynamic aspects population genetics paleontology systematics application disciplines ecology microbiology molecular medicine"
"300","E&EB228","Ecology and Evolution of Infectious Diseases","<p>Overview of the ecology and evolution of pathogens (bacteria, viruses, protozoa) and their impact on host populations. Topics include theoretical concepts, ecological and evolutionary dynamics, molecular biology, and epidemiology of ancient and emerging diseases.</p>
","E&EB528",NA,NA,NA,NA,NA,NA,NA,NA,"ecology evolution pathogens bacteria viruses protozoa host populations topics theoretical concepts ecological evolutionary molecular biology epidemiology diseases"
"301","E&EB272","Ornithology","<p>An overview of avian biology and evolution, including the structure, function, behavior, and diversity of birds. The evolutionary origin of birds, avian phylogeny, anatomy, physiology, neurobiology, breeding systems, and biogeography.</p>
","E&EB672",NA,NA,NA,NA,NA,NA,NA,NA,"avian biology evolution including function behavior diversity birds evolutionary origin phylogeny anatomy neurobiology breeding systems biogeography"
"302","E&EB273L","Laboratory for Ornithology","<p>Laboratory and field studies of avian morphology, diversity, phylogeny, classification, identification, and behavior.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"avian diversity phylogeny classification identification behavior"
"303","E&EB290","Comparative Developmental Anatomy of Vertebrates","<p>A survey of the development, structure, and evolution of major vertebrate groups. Topics include the micro-anatomy of major organ systems, the developmental underpinnings of the vertebrate body plan, and the development, structure, and evolution of the major organ systems such as the locomotory system, sensory organs, digestive tract, reproductive tract, and nervous system.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"evolution groups topics microanatomy organ systems underpinnings locomotory sensory organs digestive tract reproductive nervous"
"304","E&EB291L","Comparative Anatomy of Vertebrates Laboratory","<p>Microscopic examination of histological and embryological preparations. Dissection of selected vertebrate species including shark, bony fish, frog, lizard, and rat.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"microscopic histological embryological preparations dissection species including shark bony fish frog lizard rat"
"305","E&EB380","Life History Evolution","<p>Life history evolution studies how the phenotypic traits directly involved in reproductive success are shaped by evolution to solve ecological problems.  The intimate interplay between evolution and ecology.</p>
","E&EB680",NA,NA,NA,NA,NA,NA,NA,NA,"life evolution phenotypic traits directly involved reproductive success ecological  intimate interplay ecology"
"306","E&EB460","Studies in Evolutionary Medicine I","<p>Principles of evolutionary biology applied to issues in medical research and practice. Lactose and alcohol tolerance; the ""hygiene hypothesis""; genetic variation in drug response and pathogen resistance; spontaneous abortions, immune genes, and mate choice; the evolution of aging; the ecology and evolution of disease; the emergence of new diseases. Students develop proposals for research to be conducted during the summer.</p>","E&EB960","HLTH480","EMD695",NA,NA,NA,NA,NA,NA,"evolutionary biology applied medical practice lactose alcohol tolerance hygiene hypothesis genetic variation drug pathogen resistance spontaneous abortions immune mate choice evolution aging ecology disease emergence diseases students develop conducted summer"
"307","E&EB469","Tutorial","<p>Individual or small-group study for qualified students who wish to investigate an area of ecology or evolutionary biology not presently covered by regular courses. A student must be sponsored by a faculty member who sets requirements and meets weekly with the student. One or more written examinations and/or a term paper are required. To register, the student must submit a written plan of study approved by the faculty instructor to the director of undergraduate studies. Students are encouraged to apply during the term preceding the tutorial. Proposals must be submitted no later than the first day of the second week of the term in which the student enrolls in the tutorial. The final paper is due in the hands of the director of undergraduate studies by the last day of reading period in the term of enrollment. In special cases, with approval of the director of undergraduate studies, this course may be elected for more than one term, but only one term may be counted as an elective toward the requirements of the major. Normally, faculty sponsors must be members of the EEB department.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"individual smallgroup qualified students wish investigate ecology evolutionary biology presently regular courses student must meets examinations andor term paper approved instructor undergraduate submitted later first enrolls due enrollment special cases course may elected counted elective sponsors members eeb"
